n,d,outlier_fraction,outlier_mag,trial,s,true_cv,true_M,cv_hat,pilot_cv,M_hat,cv_rel_error,M_rel_error
1000,3,0.02,2.0,2,100,0.619980694353103,5.711189635441723,0.5579187797664946,0.5579187797664946,2.822862589292165,0.1001029792570633,0.5057312452427725
1000,3,0.02,5.0,0,10,1.0363964890753734,8.83629684462703,0.8772679801502781,0.8772679801502781,2.380763530549655,0.15354018525001245,0.7305699918855381
1000,3,0.02,5.0,0,30,1.0363964890753734,8.83629684462703,1.2092884994701962,1.2092884994701962,7.173937325406862,0.1668203358630338,0.18812852809839423
1000,3,0.02,5.0,0,50,1.0363964890753734,8.83629684462703,0.7191052179197865,0.7191052179197865,4.967978820742869,0.306148539193393,0.43777592490414335
1000,3,0.02,5.0,0,100,1.0363964890753734,8.83629684462703,1.2590902587773922,1.2590902587773922,6.9246592688462565,0.21487314174587396,0.21633922098748393
1000,3,0.02,5.0,1,10,1.0808453099122093,9.327938871539764,0.6586592819361979,0.6586592819361979,2.2832426414258413,0.3906072627639038,0.7552253854930177
1000,3,0.02,5.0,1,30,1.0808453099122093,9.327938871539764,1.6661873831338971,1.6661873831338971,9.558732324814516,0.5415595255432359,0.024742170425121387
1000,3,0.02,5.0,1,50,1.0808453099122093,9.327938871539764,0.6424909241338203,0.6424909241338203,3.2190297917521216,0.4055662561129992,0.6549044932558873
1000,3,0.02,5.0,1,100,1.0808453099122093,9.327938871539764,1.211798564881424,1.211798564881424,9.341271386453363,0.12115818403269131,0.0014293098504618849
1000,3,0.02,5.0,2,10,1.0555990939448983,9.079803243418585,1.4964903426068976,1.4964903426068976,5.204875367106968,0.4176692185423699,0.4267634190333721
1000,3,0.02,5.0,2,30,1.0555990939448983,9.079803243418585,1.0769539361984184,1.0769539361984184,5.440798800803144,0.02023006876002003,0.4007800989799136
1000,3,0.02,5.0,2,50,1.0555990939448983,9.079803243418585,1.0346600837545479,1.0346600837545479,7.545393164529355,0.01983613884329782,0.16899155606719046
1000,3,0.02,5.0,2,100,1.0555990939448983,9.079803243418585,1.3092415085117501,1.3092415085117501,9.067336942852021,0.24028290287647017,0.0013729703422372718
1000,3,0.02,10.0,0,10,2.4223349633420703,19.324723385669508,2.1147316342463447,2.1147316342463447,6.967428701299954,0.1269862895721608,0.6394551910395395
1000,3,0.02,10.0,0,30,2.4223349633420703,19.324723385669508,0.8336096773644652,0.8336096773644652,3.7164581623735375,0.6558652333472731,0.8076837588718333
1000,3,0.02,10.0,0,50,2.4223349633420703,19.324723385669508,2.400386325179376,2.400386325179376,11.011378639159211,0.009060942642058064,0.4301921730313181
1000,3,0.02,10.0,0,100,2.4223349633420703,19.324723385669508,2.563089059397342,2.563089059397342,18.747968674587636,0.05810678464594946,0.02984543165619496
1000,3,0.02,10.0,1,10,2.4594205603819232,19.349043540692758,0.4058579587640288,0.4058579587640288,1.5796242029845176,0.8349782199507175,0.9183616389274007
1000,3,0.02,10.0,1,30,2.4594205603819232,19.349043540692758,0.601719506833396,0.601719506833396,2.7364451773989327,0.7553409463487794,0.8585746540058198
1000,3,0.02,10.0,1,50,2.4594205603819232,19.349043540692758,0.7256089813183916,0.7256089813183916,4.454680451280101,0.7049675061650652,0.7697725759978
1000,3,0.02,10.0,1,100,2.4594205603819232,19.349043540692758,2.238276895294976,2.238276895294976,22.61816796080354,0.08991697827093305,0.16895534982054913
1000,3,0.02,10.0,2,10,2.441556227376376,19.145175988469532,0.3535828536005383,0.3535828536005383,1.4817427734675022,0.8551813594805114,0.9226049019157669
